id;name;gender;dob;dod;country;language
1;Alaska;MALE;2023-02-28;2023-02-28;AUSTRIA;RUSSIAN
2;National Ghana;MALE;2023-02-28;2023-02-28;AUSTRIA;GERMAN
3;Fantastic;FEMALE;2023-02-28;2023-02-28;GERMANY;ENGLISH
4;blue;FEMALE;2023-02-28;2023-02-28;RUSSIA;GERMAN
5;hack;UNSPECIFIED;2023-02-28;2023-02-28;SPAIN;ITALIAN
6;Planner Shoes;OTHER;2023-02-28;2023-02-28;UNITED_KINGDOM;ITALIAN
7;model;UNSPECIFIED;2023-02-28;2023-02-28;UNITED_KINGDOM;RUSSIAN
8;Sausages Buckinghamshire;FEMALE;2023-02-28;2023-02-28;RUSSIA;GERMAN
9;cyan CFA;OTHER;2023-02-27;2023-02-28;RUSSIA;FRENCH
10;Home;OTHER;2023-02-28;2023-02-28;UNITED_KINGDOM;ITALIAN
